obs_date,jump_pts,jump_ann_pct,days_to_turn,year
2016-08-29,0.010481643410773928,5.000000000000104,124,2016
2016-08-30,0.010465695747085921,5.000000000000128,123,2016
2016-08-31,-0.005402217103924594,-2.5833333333332744,122,2016
2016-09-01,0.01044136956722096,5.000000000000133,121,2016
2016-09-02,0.010509541523439707,5.000000000000102,120,2016
2016-09-05,0.010470137016056695,5.000000000000207,117,2016
2016-09-06,0.010447883745103151,4.999999999999981,116,2016
2016-09-07,0.01048722036828313,5.000000000000057,115,2016
2016-09-08,0.01048735595154244,4.999999999999927,114,2016
2016-09-09,0.010509920770438034,4.999999999999978,113,2016
2016-09-12,0.010491673708860316,5.000000000000064,110,2016
2016-09-13,0.010537095319552832,5.000000000000033,109,2016
2016-09-14,0.010587613098633625,5.000000000000157,108,2016
2016-09-15,0.010531855939025144,5.00000000000012,107,2016
2016-09-16,0.010512060611627903,5.000000000000164,106,2016
2016-09-19,0.010482716691734213,4.999999999999989,103,2016
2016-09-20,0.010545376454033558,5.00000000000001,102,2016
2016-09-21,0.010639064345042625,5.00000000000021,101,2016
2016-09-22,0.010650427519850732,5.000000000000032,100,2016
2016-09-23,0.010663939247098264,4.999999999999931,99,2016
2016-09-26,0.010589084588722077,5.000000000000111,96,2016
2016-09-27,0.010675605514718406,5.00000000000007,95,2016
2016-09-28,0.01073268189704556,5.000000000000067,94,2016
2016-09-29,0.010711836760467884,4.99999999999995,93,2016
2016-09-30,0.010633333036502607,5.000000000000039,92,2016
2016-10-03,0.010699600016564979,5.00000000000002,89,2016
2016-10-04,0.010704174453486683,4.9999999999998614,88,2016
2016-10-05,0.010781436953615723,5.000000000000098,87,2016
2016-10-06,0.010826674485073292,4.999999999999992,86,2016
2016-10-07,0.010890223989924747,4.999999999999981,85,2016
2016-10-10,0.010872683331361772,4.99999999999995,82,2016
2016-10-11,0.010875225577383022,4.999999999999982,81,2016
2016-10-12,0.010919255828830046,4.999999999999893,80,2016
2016-10-13,0.01091011316363211,4.999999999999987,79,2016
2016-10-14,0.010947411918442573,4.999999999999946,78,2016
2016-10-17,0.010961932689930037,4.999999999999944,75,2016
2016-10-18,0.011000299854324741,4.99999999999994,74,2016
2016-10-19,0.011044875671806249,4.9999999999999485,73,2016
2016-10-20,0.011085607168985559,5.000000000000016,72,2016
2016-10-21,0.011106023152042972,4.9999999999999165,71,2016
2016-10-24,0.011103437700335974,4.999999999999978,68,2016
2016-10-25,0.011114059898410331,4.999999999999932,67,2016
