obs_date,jump_pts,jump_ann_pct,days_to_turn,year
2016-08-29,0.31198246333609836,9.000000000000012,124,2016
2016-08-30,0.31129432643986066,9.000000000000012,123,2016
2016-08-31,-0.1597500410489252,-4.6499999999999995,122,2016
2016-09-01,0.30828618863403884,8.999999999999988,121,2016
2016-09-02,0.3079407170438716,9.000000000000004,120,2016
2016-09-05,0.3091993658080921,9.000000000000009,117,2016
2016-09-06,0.31079536070374214,8.99999999999999,116,2016
2016-09-07,0.30872575292234694,8.999999999999982,115,2016
2016-09-08,0.30984375568382216,9.000000000000009,114,2016
2016-09-09,0.3103245667818576,9.000000000000002,113,2016
2016-09-12,0.31162784017412765,9.000000000000002,110,2016
2016-09-13,0.30840757007033315,9.000000000000002,109,2016
2016-09-14,0.3078214932365299,9.000000000000002,108,2016
2016-09-15,0.3090443509718878,8.999999999999993,107,2016
2016-09-16,0.3115045525882789,9.0,106,2016
2016-09-19,0.3110898674514508,9.000000000000007,103,2016
2016-09-20,0.31318908350873137,9.000000000000004,102,2016
2016-09-21,0.31364462947049504,9.000000000000002,101,2016
2016-09-22,0.31365693047056364,9.000000000000004,100,2016
2016-09-23,0.31384048650225116,9.0,99,2016
2016-09-26,0.3121043244100248,9.0,96,2016
2016-09-27,0.3111961315960572,8.999999999999998,95,2016
2016-09-28,0.311881857798968,8.999999999999998,94,2016
2016-09-29,0.3126203851407716,8.999999999999998,93,2016
2016-09-30,0.3113469947563742,8.999999999999998,92,2016
2016-10-03,0.31296732457840376,9.000000000000007,89,2016
2016-10-04,0.31450174401674036,8.999999999999993,88,2016
2016-10-05,0.31739933996122255,8.999999999999995,87,2016
2016-10-06,0.31653279504174325,8.999999999999996,86,2016
2016-10-07,0.3185275205306759,8.999999999999993,85,2016
2016-10-10,0.31686307573482386,8.999999999999998,82,2016
2016-10-11,0.316191994969311,9.0,81,2016
2016-10-12,0.31533499853383323,8.999999999999996,80,2016
2016-10-13,0.31354374913151095,9.0,79,2016
2016-10-14,0.31380874619789584,8.999999999999998,78,2016
2016-10-17,0.31381385550982477,8.999999999999998,75,2016
2016-10-18,0.31423585066591386,8.999999999999998,74,2016
2016-10-19,0.31573400675160396,8.999999999999998,73,2016
2016-10-20,0.31505788356393605,9.000000000000002,72,2016
2016-10-21,0.31373761269603323,9.0,71,2016
2016-10-24,0.3153082073666751,9.0,68,2016
2016-10-25,0.3167709019244889,8.999999999999998,67,2016
2016-10-26,0.31726352562966237,9.0,66,2016
2016-10-27,0.3179929450477737,8.999999999999998,65,2016
2016-10-28,0.32007555352270256,9.0,64,2016
2016-10-31,-0.16584589507563874,-4.649999999999998,61,2016
2016-11-01,0.3207377965768379,9.000000000000002,60,2016
2016-11-02,0.32025145394308097,9.000000000000002,59,2016
2016-11-03,0.3190329127766878,8.999999999999996,58,2016
2016-11-04,0.3187054892572226,9.0,57,2016
2016-11-07,0.3185810683222579,9.000000000000002,54,2016
2016-11-08,0.31852691299565616,9.0,53,2016
2016-11-09,0.31813898070078295,9.0,52,2016
