obs_date,ccy,near_date,far_date,near_pts,far_pts,spot,imm_spread_pts,leg_days,days_to_near,ann_pct,pair,quarter_pair
2016-08-29,KRW,2016-09-21,2016-12-21,0.39982083931406703,1.98172068181755,1251.6130622005578,1.581899842503483,91,23,0.49984032878382056,Sep16-Dec16,Sep-Dec
2016-08-30,KRW,2016-09-21,2016-12-21,0.33362686679161185,1.7136289067023702,1250.8420827444686,1.3800020399107584,91,22,0.4363374933976344,Sep16-Dec16,Sep-Dec
2016-08-31,KRW,2016-09-21,2016-12-21,0.34211529485534914,1.8246149058951955,1254.403726546989,1.4824996110398463,91,21,0.46741207904568,Sep16-Dec16,Sep-Dec
2016-09-01,KRW,2016-09-21,2016-12-21,0.2549201403044346,1.6158995909589333,1246.775436069792,1.3609794506544988,91,20,0.4317532851745884,Sep16-Dec16,Sep-Dec
2016-09-02,KRW,2016-09-21,2016-12-21,0.2703764261226108,1.7574657575720976,1253.8916136494477,1.4870893314494866,91,19,0.46907742447400813,Sep16-Dec16,Sep-Dec
2016-09-05,KRW,2016-09-21,2016-12-21,0.2603920213841555,1.9032877225246678,1254.8496162654903,1.6428957011405123,91,16,0.5178325059951305,Sep16-Dec16,Sep-Dec
2016-09-06,KRW,2016-09-21,2016-12-21,0.19729990246174026,1.5457735885954988,1252.5731414689537,1.3484736861337585,91,15,0.42582591349091226,Sep16-Dec16,Sep-Dec
2016-09-07,KRW,2016-09-21,2016-12-21,0.23434205447198025,1.8985698286856736,1248.8962927201358,1.6642277742136933,91,14,0.5270672293492308,Sep16-Dec16,Sep-Dec
2016-09-08,KRW,2016-09-21,2016-12-21,0.19596893952318387,1.6992059057841793,1253.872639249215,1.5032369662609955,91,13,0.4742062336977457,Sep16-Dec16,Sep-Dec
2016-09-09,KRW,2016-09-21,2016-12-21,0.2575318682816418,2.331849678540424,1254.1340276043118,2.074317810258782,91,12,0.6541890667407843,Sep16-Dec16,Sep-Dec
2016-09-12,KRW,2016-09-21,2016-12-21,0.1782946979264373,2.0717668539781267,1249.846354960083,1.8934721560516894,91,9,0.5992409094440264,Sep16-Dec16,Sep-Dec
2016-09-13,KRW,2016-09-21,2016-12-21,0.13906495368757124,1.8015931938262966,1250.298075110338,1.6625282401387254,91,8,0.5259788425523669,Sep16-Dec16,Sep-Dec
2016-09-14,KRW,2016-09-21,2016-12-21,0.13190687636242457,1.9179988578811902,1263.074430299787,1.7860919815187657,91,7,0.5593590041846958,Sep16-Dec16,Sep-Dec
2016-09-15,KRW,2016-09-21,2016-12-21,0.117735541907599,1.6926894285874474,1265.03157022151,1.5749538866798485,91,6,0.49247837990851195,Sep16-Dec16,Sep-Dec
2016-09-16,KRW,2016-09-21,2016-12-21,0.12882915335076103,1.8176043981015955,1259.9536018492977,1.6887752447508344,91,5,0.5301930203722593,Sep16-Dec16,Sep-Dec
2016-09-19,KRW,2016-09-21,2016-12-21,0.11636040462069888,1.5661520933023987,1253.7022071844785,1.4497916886816997,91,2,0.4574377661801877,Sep16-Dec16,Sep-Dec
2016-09-20,KRW,2016-09-21,2016-12-21,0.11643030624828242,1.540383071632637,1259.3674995318668,1.4239527653843547,91,1,0.44726412125921855,Sep16-Dec16,Sep-Dec
2016-09-21,KRW,2016-12-21,2017-03-15,1.499692157785335,3.1963623854719123,1249.3560204619944,1.6966702276865773,84,91,0.5813175540217826,Dec16-Mar17,Dec-Mar
2016-09-22,KRW,2016-12-21,2017-03-15,1.6059013175960661,3.414707024490512,1239.8579085524693,1.808805706894446,84,90,0.6244261328029069,Dec16-Mar17,Dec-Mar
2016-09-23,KRW,2016-12-21,2017-03-15,1.385885183017711,3.0046354944539773,1242.89538626247,1.6187503114362662,84,89,0.5575508925459756,Dec16-Mar17,Dec-Mar
2016-09-26,KRW,2016-12-21,2017-03-15,1.4411525511025591,3.157956958579195,1236.6681279244508,1.716804407476636,84,86,0.5942717085582709,Dec16-Mar17,Dec-Mar
2016-09-27,KRW,2016-12-21,2017-03-15,1.4888113281682596,3.269664657313327,1238.2297134680898,1.7808533291450674,84,85,0.6156420510641565,Dec16-Mar17,Dec-Mar
2016-09-28,KRW,2016-12-21,2017-03-15,1.6250985895504564,3.5595334004893457,1237.3448855537347,1.9344348109388894,84,84,0.6691392858687107,Dec16-Mar17,Dec-Mar
2016-09-29,KRW,2016-12-21,2017-03-15,1.6084048553336845,3.544893469435756,1234.8215480695144,1.9364886141020716,84,83,0.6712258060351647,Dec16-Mar17,Dec-Mar
2016-09-30,KRW,2016-12-21,2017-03-15,1.50950864021895,3.363302608383244,1229.8721761502584,1.8537939681642939,84,82,0.645196480527886,Dec16-Mar17,Dec-Mar
2016-10-03,KRW,2016-12-21,2017-03-15,1.6260237717044417,3.281790753507173,1229.8734597356065,1.6557669818027314,84,79,0.5762198281655806,Dec16-Mar17,Dec-Mar
