obs_date,ccy,slot,near_date,far_date,near_pts,far_pts,spot,imm_spread_pts,leg_days,days_to_near,ann_pct,pair,quarter_pair
2016-08-29,TWD,0,2016-09-21,2016-12-21,-0.029069501794925044,-0.14408361759223717,30.333393177313088,-0.11501411579731213,91,23,-1.501438878925623,Sep16-Dec16,Sep-Dec
2016-08-30,TWD,0,2016-09-21,2016-12-21,-0.027326452048736988,-0.14035859461396727,30.2527925291734,-0.11303214256523028,91,22,-1.4794151504327082,Sep16-Dec16,Sep-Dec
2016-08-31,TWD,0,2016-09-21,2016-12-21,-0.02556323304347085,-0.13633724289851118,30.14432469465942,-0.11077400985504032,91,21,-1.4549962578383657,Sep16-Dec16,Sep-Dec
2016-09-01,TWD,0,2016-09-21,2016-12-21,-0.025337905319354787,-0.13254036262027652,30.076244275970225,-0.10720245730092173,91,20,-1.4112640332624695,Sep16-Dec16,Sep-Dec
2016-09-02,TWD,0,2016-09-21,2016-12-21,-0.022982910911820687,-0.12535533231137913,30.16577603040155,-0.10237242139955845,91,19,-1.343570907108288,Sep16-Dec16,Sep-Dec
2016-09-05,TWD,0,2016-09-21,2016-12-21,-0.018897987583151768,-0.11990253030462124,30.121591708333938,-0.10100454272146947,91,16,-1.3273842350221658,Sep16-Dec16,Sep-Dec
2016-09-06,TWD,0,2016-09-21,2016-12-21,-0.017683158162342102,-0.11887155758903115,30.20355672060438,-0.10118839942668904,91,15,-1.3261360654202927,Sep16-Dec16,Sep-Dec
2016-09-07,TWD,0,2016-09-21,2016-12-21,-0.016662869880743822,-0.11930042016639844,30.137866648214803,-0.10263755028565462,91,14,-1.3480160469641385,Sep16-Dec16,Sep-Dec
2016-09-08,TWD,0,2016-09-21,2016-12-21,-0.015390631849830992,-0.1178726121258404,30.060133450529317,-0.10248198027600941,91,13,-1.3493981996153699,Sep16-Dec16,Sep-Dec
2016-09-09,TWD,0,2016-09-21,2016-12-21,-0.013119978796524077,-0.1077828539672937,29.947843691135308,-0.09466287517076963,91,12,-1.251023723418232,Sep16-Dec16,Sep-Dec
2016-09-12,TWD,0,2016-09-21,2016-12-21,-0.010550163074258871,-0.11361269252706167,29.85375748599385,-0.10306252945280281,91,9,-1.3662066959647374,Sep16-Dec16,Sep-Dec
2016-09-13,TWD,0,2016-09-21,2016-12-21,-0.009688068222476807,-0.11668044694454911,29.847394969992816,-0.1069923787220723,91,8,-1.4185626079767824,Sep16-Dec16,Sep-Dec
2016-09-14,TWD,0,2016-09-21,2016-12-21,-0.00853274281039268,-0.11665940014898298,29.749362888668735,-0.1081266573385903,91,7,-1.438271249167307,Sep16-Dec16,Sep-Dec
2016-09-15,TWD,0,2016-09-21,2016-12-21,-0.0082915997936408,-0.11248440857562093,29.927081061036855,-0.10419280878198013,91,6,-1.3777005649882754,Sep16-Dec16,Sep-Dec
