obs_date,ccy,slot,near_date,far_date,near_pts,far_pts,spot,imm_spread_pts,leg_days,days_to_near,ann_pct,pair,quarter_pair
2016-08-29,IDR,0,2016-09-21,2016-12-21,41.3587871202036,204.99572746535696,14385.665085288209,163.63694034515336,91,23,4.487099588682583,Sep16-Dec16,Sep-Dec
2016-08-30,IDR,0,2016-09-21,2016-12-21,38.72478250776801,198.90456469899027,14310.118667675864,160.17978219122227,91,22,4.416232300659143,Sep16-Dec16,Sep-Dec
2016-08-31,IDR,0,2016-09-21,2016-12-21,37.504961041702686,200.026458889081,14285.108280162982,162.52149784737833,91,21,4.489000564761814,Sep16-Dec16,Sep-Dec
2016-09-01,IDR,0,2016-09-21,2016-12-21,34.6303849721733,194.23358558889848,14193.769228523008,159.6032006167252,91,20,4.437584649830909,Sep16-Dec16,Sep-Dec
2016-09-02,IDR,0,2016-09-21,2016-12-21,32.246144442287004,188.62860136855545,14246.596843385625,156.38245692626845,91,19,4.332675091965387,Sep16-Dec16,Sep-Dec
2016-09-05,IDR,0,2016-09-21,2016-12-21,27.355837172854404,184.57814810680543,14263.761772572203,157.22231093395104,91,16,4.3522024652669495,Sep16-Dec16,Sep-Dec
2016-09-06,IDR,0,2016-09-21,2016-12-21,26.455331379924772,188.48431249432727,14259.72790858748,162.02898111440248,91,15,4.486809112516035,Sep16-Dec16,Sep-Dec
2016-09-07,IDR,0,2016-09-21,2016-12-21,24.221924759117897,183.09209226728746,14225.57800425034,158.87016750816957,91,14,4.410569756048969,Sep16-Dec16,Sep-Dec
2016-09-08,IDR,0,2016-09-21,2016-12-21,22.365508046427298,180.24473980313968,14171.863286547836,157.8792317567124,91,13,4.400219199044248,Sep16-Dec16,Sep-Dec
2016-09-09,IDR,0,2016-09-21,2016-12-21,20.79658645974655,179.73131688882643,14267.166146021786,158.93473042907988,91,12,4.400576845641332,Sep16-Dec16,Sep-Dec
2016-09-12,IDR,0,2016-09-21,2016-12-21,16.020679222434808,178.9307374138928,14309.45271823313,162.910058191458,91,9,4.498834580933044,Sep16-Dec16,Sep-Dec
2016-09-13,IDR,0,2016-09-21,2016-12-21,13.567020874819235,168.71504763834523,14353.927698472166,155.148026763526,91,8,4.271951551466358,Sep16-Dec16,Sep-Dec
2016-09-14,IDR,0,2016-09-21,2016-12-21,12.210130374053385,171.66145782185112,14341.249374566916,159.45132744779772,91,7,4.394734663207157,Sep16-Dec16,Sep-Dec
2016-09-15,IDR,0,2016-09-21,2016-12-21,11.8961818274879,165.45932385072297,14234.412894725892,153.56314202323506,91,6,4.26428021888119,Sep16-Dec16,Sep-Dec
2016-09-16,IDR,0,2016-09-21,2016-12-21,11.874115066435108,163.35647923302886,14270.085752963174,151.48236416659375,91,5,4.1959989857552715,Sep16-Dec16,Sep-Dec
2016-09-19,IDR,0,2016-09-21,2016-12-21,11.857711215609331,157.74231814681033,14239.801046617424,145.884606931201,91,2,4.049535056491827,Sep16-Dec16,Sep-Dec
2016-09-20,IDR,0,2016-09-21,2016-12-21,11.321232832914543,148.89561292115164,14266.26283990354,137.5743800882371,91,1,3.811921485329059,Sep16-Dec16,Sep-Dec
2016-09-21,IDR,0,2016-12-21,2017-03-15,141.44838208997416,275.1828465194727,14250.272020543185,133.73446442949856,84,91,3.9824822096528676,Dec16-Mar17,Dec-Mar
2016-09-22,IDR,0,2016-12-21,2017-03-15,130.26883400096153,255.01724149816388,14238.730933372359,124.74840749720235,84,90,3.72076025322819,Dec16-Mar17,Dec-Mar
2016-09-23,IDR,0,2016-12-21,2017-03-15,124.68999978560397,245.52254504382253,14164.207381553164,120.83254525821856,84,89,3.624168832429854,Dec16-Mar17,Dec-Mar
2016-09-26,IDR,0,2016-12-21,2017-03-15,115.26671736001697,230.99408389690663,14135.717298719725,115.72736653688966,84,86,3.48028197530516,Dec16-Mar17,Dec-Mar
2016-09-27,IDR,0,2016-12-21,2017-03-15,115.41962236636402,232.6220741149733,14133.182815970002,117.20245174860926,84,85,3.5252315022020433,Dec16-Mar17,Dec-Mar
2016-09-28,IDR,0,2016-12-21,2017-03-15,109.73487185296005,222.61430549773866,14150.528063183438,112.8794336447786,84,84,3.3924269386799635,Dec16-Mar17,Dec-Mar
